compressionCurves X,compressionCurves Y
-30,-4.999111903168931
-29.9,-4.899237342960767
-29.8,-4.799365712850403
-29.7,-4.699497081409092
-29.6,-4.599631518946353
-29.5,-4.499769097361828
-29.4,-4.399909890219263
-29.3,-4.300053972899207
-29.2,-4.200201422498232
-29.1,-4.100352317938579
-29,-4.000506740073348
-28.9,-3.900664771551597
-28.8,-3.800826497033832
-28.7,-3.700992003199296
-28.6,-3.601161378756466
-28.5,-3.501334714471064
-28.4,-3.401512103319291
-28.3,-3.301693640448626
-28.2,-3.201879423213192
-28.1,-3.102069551377731
-28,-3.002264126972882
-27.9,-2.902463254465282
-27.8,-2.80266704081653
-27.7,-2.702875595505297
-27.6,-2.603089030647382
-27.5,-2.503307460955384
-27.4,-2.403531003908554
-27.3,-2.30375977975482
-27.2,-2.203993911605473
-27.1,-2.104233525501414
-27,-2.004478750462965
-26.9,-1.904729718604901
-26.8,-1.804986565158472
-26.7,-1.705249428590008
-26.6,-1.605518450660895
-26.5,-1.505793776496247
-26.4,-1.406075554687288
-26.3,-1.306363937428436
-26.2,-1.20665908041175
-26.1,-1.106961143205826
-26,-1.007270289039322
-25.9,-0.9075866851578454
-25.8,-0.8079105027662266
-25.7,-0.7082419171573662
-25.6,-0.6085811078158514
-25.5,-0.5089282585882735
-25.4,-0.4092835576277771
-25.3,-0.3096471976748489
-25.2,-0.2100193760764029
-25.1,-0.1104002949162179
-25,-0.01079016118562848
-24.9,0.08881081324845042
-24.8,0.1884024113698821
-24.7,0.2879844108558203
-24.6,0.3875565841320565
-24.5,0.4871186981123508
-24.4,0.5866705140454691
-24.3,0.6862117874098033
-24.2,0.7857422678286277
-24.1,0.8852616988007291
-24,0.9847698176790729
-23.9,1.084266355375647
-23.8,1.183751036290431
-23.7,1.283223578206353
-23.6,1.382683691951197
-23.5,1.482131081340214
-23.4,1.581565443026033
-23.3,1.680986466224319
-23.2,1.780393832535118
-23.1,1.879787215875936
-23,1.979166282099641
-22.9,2.078530688940674
-22.8,2.177880085718776
-22.7,2.277214113180207
-22.6,2.37653240320725
-22.5,2.475834578689849
-22.4,2.575120253179431
-22.3,2.67438903076361
-22.2,2.773640505725062
-22.1,2.872874262366199
-22,2.97208987464758
-21.9,3.071286906095981
-21.8,3.170464909297134
-21.7,3.269623425811268
-21.6,3.368761985777343
-21.5,3.467880107676841
-21.4,3.56697729794373
-21.3,3.6660530507415
-21.2,3.765106847608465
-21.1,3.864138157062577
-21,3.963146434357046
-20.9,4.062131121035957
-20.8,4.16109164464617
-20.7,4.260027418336918
-20.6,4.358937840402994
-20.5,4.457822294046544
-20.4,4.556680146859367
-20.3,4.655510750341143
-20.2,4.754313439654744
-20.1,4.853087533010395
-20,4.951832331288823
-19.9,5.050547117571313
-19.8,5.149231156678646
-19.7,5.247883694543241
-19.6,5.34650395788131
-19.5,5.445091153499821
-19.4,5.543644467834877
-19.3,5.642163066458039
-19.2,5.740646093340018
-19.1,5.8390926703471
-19,5.937501896701182
-18.9,6.035872848165024
-18.8,6.134204576551415
-18.7,6.232496109012551
-18.6,6.330746447378182
-18.5,6.428954567319334
-18.4,6.527119417781552
-18.3,6.625239920213502
-18.2,6.723314967643972
-18.1,6.821343424044358
-18,6.91932412351856
-17.9,7.01725586932103
-17.8,7.115137433120523
-17.7,7.212967554038944
-17.6,7.310744937756283
-17.5,7.408468255611712
-17.4,7.50613614353782
-17.3,7.603747201133636
-17.2,7.70129999065329
-17.1,7.798793035890295
-17,7.896224821144713
-16.9,7.993593790041015
-16.8,8.090898344525797
-16.7,8.188136843539848
-16.6,8.285307601939998
-16.5,8.382408889158377
-16.4,8.479438928008499
-16.3,8.576395893352601
-16.2,8.673277910805577
-16.1,8.770083055335345
-16,8.866809349829552
-15.9,8.963454763761526
-15.8,9.060017211642762
-15.7,9.156494551471152
-15.6,9.252884583314337
-15.5,9.349185047609382
-15.4,9.445393623529085
-15.3,9.541507927310906
-15.2,9.637525510583803
-15.1,9.733443858437024
-15,9.829260387663858
-14.9,9.924972444728272
-14.8,10.02057730378078
-14.7,10.11607216456184
-14.6,10.2114541500607
-14.5,10.30672030416658
-14.4,10.40186758916432
-14.3,10.49689288296514
-14.2,10.59179297620146
-14.1,10.68656456905162
-14,10.78120426775143
-13.9,10.87570858085228
-13.8,10.9700739151687
-13.7,11.06429657115546
-13.6,11.15837273799868
-13.5,11.25229848823457
-13.4,11.34606977173617
-13.3,11.4396824093193
-13.2,11.5331320855561
-13.1,11.62641434125574
-13,11.71952456500339
-12.9,11.81245798423533
-12.8,11.90520965559244
-12.7,11.99777445474431
-12.6,12.09014706535526
-12.5,12.18232196750467
-12.4,12.27429342549458
-12.3,12.36605547494941
-12.2,12.4576019091744
-12.1,12.54892626501121
-12,12.64002180782178
-11.9,12.7308815159304
-11.8,12.8214980639792
-11.7,12.91186380585667
-11.6,13.00197075626177
